"PMID","AuthorN","AuthorForename","AuthorLastname","AuthorInitials","AuthorAffiliation"
10548311,1,"A M","Dunning","AM","Cancer Research Campaign Human Cancer Genetics Group, University Department of Oncology, Strangeways Research Laboratories, Cambridge, United Kingdom."
10548311,2,"C S","Healey","CS",""
10548311,3,"P D","Pharoah","PD",""
10548311,4,"M D","Teare","MD",""
10548311,5,"B A","Ponder","BA",""
10548311,6,"D F","Easton","DF",""
10548400,1,"K","Woodson","K","Division of Clinical Sciences, National Cancer Institute, Cancer Prevention Studies Branch, Bethesda, MD 20892-7058, USA. kw114v@nih.gov"
10548400,2,"D","Ratnasinghe","D",""
10548400,3,"N K","Bhat","NK",""
10548400,4,"C","Stewart","C",""
10548400,5,"J A","Tangrea","JA",""
10548400,6,"T J","Hartman","TJ",""
10548400,7,"R","Stolzenberg-Solomon","R",""
10548400,8,"J","Virtamo","J",""
10548400,9,"P R","Taylor","PR",""
10548400,10,"D","Albanes","D",""
10564681,1,"M","García-Closas","M","M. García-Closas, Division of Cancer Epidemiology and Genetics, National Cancer Institute, Bethesda, MD, USA."
10564681,2,"K T","Kelsey","KT",""
10564681,3,"S E","Hankinson","SE",""
10564681,4,"D","Spiegelman","D",""
10564681,5,"K","Springer","K",""
10564681,6,"W C","Willett","WC",""
10564681,7,"F E","Speizer","FE",""
10564681,8,"D J","Hunter","DJ",""
10566550,1,"K","Woodson","K","Cancer Prevention Studies Branch, Division of Clinical Sciences, National Cancer Institute, Bethesda, Maryland 20892-7058, USA."
10566550,2,"C","Stewart","C",""
10566550,3,"M","Barrett","M",""
10566550,4,"N K","Bhat","NK",""
10566550,5,"J","Virtamo","J",""
10566550,6,"P R","Taylor","PR",""
10566550,7,"D","Albanes","D",""
10571654,1,"H","Bartsch","H","Division of Toxicology and Cancer Risk Factors, German Cancer Research Center (DKFZ), Heidelberg, Germany. h.bartsch@dkfz-heidelberg.de"
10571654,2,"M","Rojas","M",""
10571654,3,"U","Nair","U",""
10571654,4,"J","Nair","J",""
10571654,5,"K","Alexandrov","K",""
10597978,1,"I","Stücker","I","Epedemiologic and Statistical Research on Environment and Health, INSERM U 170, Villejuif, France."
10597978,2,"I","de Waziers","I",""
10597978,3,"S","Cenée","S",""
10597978,4,"J","Bignon","J",""
10597978,5,"A","Depierre","A",""
10597978,6,"B","Milleron","B",""
10597978,7,"P","Beaune","P",""
10597978,8,"D","Hémon","D",""
10607731,1,"M","Rojas","M","Division of Toxicology and Cancer Risk Factors, Deutsches Krebsforschungszentrum, Im Neuenheimer Feld 280, D-69120 Heidelberg, Germany."
10607731,2,"I","Cascorbi","I",""
10607731,3,"K","Alexandrov","K",""
10607731,4,"E","Kriek","E",""
10607731,5,"G","Auburtin","G",""
10607731,6,"L","Mayer","L",""
10607731,7,"A","Kopp-Schneider","A",""
10607731,8,"I","Roots","I",""
10607731,9,"H","Bartsch","H",""
10607733,1,"S M","Hou","SM","Environmental Medicine Unit, Department of Biosciences, Karolinska Institute, CNT/NOVUM, S-141 57 Huddinge, Sweden. saimei.hou@csb.ki.se"
10607733,2,"D","Ryberg","D",""
10607733,3,"S","Fält","S",""
10607733,4,"A","Deverill","A",""
10607733,5,"T","Tefre","T",""
10607733,6,"A L","Børresen","AL",""
10607733,7,"A","Haugen","A",""
10607733,8,"B","Lambert","B",""
10607734,1,"R B","Hayes","RB","Occupational Studies Branch, National Cancer Institute, Bethesda, MD, USA. hayesr@exchange.nih.gov"
10607734,2,"L","Zhang","L",""
10607734,3,"S","Yin","S",""
10607734,4,"J A","Swenberg","JA",""
10607734,5,"L","Xi","L",""
10607734,6,"J","Wiencke","J",""
10607734,7,"W E","Bechtold","WE",""
10607734,8,"M","Yao","M",""
10607734,9,"N","Rothman","N",""
10607734,10,"R","Haas","R",""
10607734,11,"J P","O'Neill","JP",""
10607734,12,"D","Zhang","D",""
10607734,13,"J","Wiemels","J",""
10607734,14,"M","Dosemeci","M",""
10607734,15,"G","Li","G",""
10607734,16,"M T","Smith","MT",""
10616008,1,"A","Morinobu","A","Kobe University School of Medicine, Japan."
10616008,2,"S","Kanagawa","S",""
10616008,3,"M","Koshiba","M",""
10616008,4,"S","Sugai","S",""
10616008,5,"S","Kumagai","S",""
10616169,1,"Y","Arai","Y","Department of Geriatric Medicine, Keio University School of Medicine, Tokyo, Japan. yasumich@tka.att.ne.jp"
10616169,2,"N","Hirose","N",""
10616169,3,"K","Yamamura","K",""
10616169,4,"M","Nagai","M",""
10616169,5,"H","Jang","H",""
10616169,6,"Y","Hattori","Y",""
10616169,7,"Y","Ikeda","Y",""
10621833,1,"A R","Conde","AR","Department of Genetics, Faculty of Medical Sciences, New University of Lisbon, Lisboa, Portugal."
10621833,2,"G","Martins","G",""
10621833,3,"C","Saraiva","C",""
10621833,4,"J","Rueff","J",""
10621833,5,"C","Monteiro","C",""
10625170,1,"S C","Cotton","SC","Department of Medicine and Therapeutics, Faculty of Medicine and Medical Sciences, University of Aberdeen, Scotland."
10625170,2,"L","Sharp","L",""
10625170,3,"J","Little","J",""
10625170,4,"N","Brockton","N",""
10629710,1,"T V","Kondrat'eva","TV","N.N. Petrov Research Institute of Oncology, Ministry of Health of the RF, St. Petersburg."
10629710,2,"E N","Imianitov","EN",""
10629710,3,"A V","Togo","AV",""
10629710,4,"O A","Zaĭtseva","OA",""
10629710,5,"O S","Iatsuk","OS",""
10629710,6,"V P","Bersnev","VP",""
10629710,7,"K P","Khanson","KP",""
10633178,1,"H","Autrup","H","Department of Environmental Medicine, University of Aarhus, Vennelyst Boulevard 6, DK-8000, Aarhus, Denmark. ha@mil.au.dk"
10634136,1,"S A","Salama","SA","Department of Preventive Medicine and Community Health, The University of Texas Medical Branch, Galveston 77555-1110, USA."
10634136,2,"S Z","Abdel-Rahman","SZ",""
10634136,3,"C H","Sierra-Torres","CH",""
10634136,4,"F A","Hamada","FA",""
10634136,5,"W W","Au","WW",""
10635992,1,"C","Viezzer","C","Department of Biology, University of Padova, Italy."
10635992,2,"H","Norppa","H",""
10635992,3,"E","Clonfero","E",""
10635992,4,"G","Gabbani","G",""
10635992,5,"G","Mastrangelo","G",""
10635992,6,"A","Hirvonen","A",""
10635992,7,"L","Celotti","L",""
10635997,1,"M J","Davies","MJ","Department of Molecular Biology, BIBRA International, Carshalton, Surrey, UK. mdavies@bibra.co.uk"
10635997,2,"J G","Turner","JG",""
10635997,3,"C","Vives-Bauza","C",""
10635997,4,"P C","Rumsby","PC",""
10636000,1,"C","Dennog","C","Universitätsklinikum Ulm, Abteilung Medizinische Genetik, Germany."
10636000,2,"C","Gedik","C",""
10636000,3,"S","Wood","S",""
10636000,4,"G","Speit","G",""
10643942,1,"J L","Autrup","JL","Department of Environmental Medicine, University of Aarhus, Denmark."
10643942,2,"L H","Thomassen","LH",""
10643942,3,"J H","Olsen","JH",""
