Year,Count
1799,1
1801,1
1802,1
1805,1
1866,1
1881,2
1882,2
1884,2
1886,1
1887,2
1888,1
1891,1
1893,2
1894,4
1896,13
1897,16
1898,14
1899,14
1900,7
1901,7
1902,3
1903,1
1904,3
1905,21
1906,13
1907,30
1908,24
1909,39
1910,38
1911,70
1912,92
1913,93
1914,96
1915,113
1916,143
1917,117
1918,119
1919,199
1920,224
1921,214
1922,177
1923,179
1924,204
1925,220
1926,212
1927,247
1928,250
1929,233
1930,224
1931,222
1932,214
1933,218
1934,193
1935,223
1936,198
1937,186
1938,187
1939,194
1940,189
1941,181
1942,173
1943,145
1944,148
1945,183
1946,155
1947,151
1948,149
1949,266
1950,297
1951,256
1952,267
1953,359
1954,362
1955,396
1956,514
1957,548
1958,653
1959,991
1960,1179
1961,1537
1962,2109
1963,2736
1964,2804
1965,3443
1966,5221
1967,5796
1968,6052
1969,7748
1970,8757
1971,9060
1972,9858
1973,10245
1974,11859
1975,90983
1976,99357
1977,97831
1978,101675
1979,110641
1980,119102
1981,119499
1982,125282
1983,155120
1984,169903
1985,176600
1986,184004
1987,193629
1988,202345
1989,253137
1990,260792
1991,263800
1992,270985
1993,275503
1994,286348
1995,295251
1996,306294
1997,313743
1998,329438
1999,340740
2000,373439
2001,388963
2002,405519
2003,426752
2004,459362
2005,492511
2006,521278
2007,548061
2008,585286
2009,618504
2010,653739
2011,702139
2012,765156
2013,809074
2014,850568
2015,876117
2016,896208
2017,907250
2018,959228
2019,999175
2020,1132241
2021,1277048
2022,1324650
2023,1302390
2024,15611
